id,original_timestamp,post_edit_timestamp,delta
13416,14 2 2022,14 2 2022,0
13417,14 2 2022,14 2 2022,0
13423,14 2 2022,14 2 2022,0
13487,14 2 2022,14 2 2022,0
13581,14 2 2022,14 2 2022,0
13582,14 2 2022,16 2 2022,2
13583,14 2 2022,14 2 2022,0
13638,14 2 2022,1 3 2022,15
13642,14 2 2022,15 2 2022,1
13653,14 2 2022,14 2 2022,0
13656,14 2 2022,18 2 2022,4
13657,14 2 2022,14 2 2022,0
13659,14 2 2022,28 3 2022,42
13724,14 2 2022,15 2 2022,1
13740,14 2 2022,15 2 2022,1
13741,14 2 2022,15 2 2022,1
13808,14 2 2022,15 2 2022,1
13815,14 2 2022,15 2 2022,1
13818,14 2 2022,14 2 2022,0
13840,14 2 2022,14 2 2022,0
13841,14 2 2022,14 2 2022,0
13894,14 2 2022,1 3 2022,15
13921,14 2 2022,14 2 2022,0
13922,14 2 2022,18 2 2022,4
13923,14 2 2022,15 2 2022,1
13926,14 2 2022,14 2 2022,0
13989,14 2 2022,15 2 2022,1
14069,14 2 2022,15 2 2022,1
14082,14 2 2022,17 2 2022,3
14133,14 2 2022,14 2 2022,0
14134,14 2 2022,15 2 2022,1
14145,14 2 2022,15 2 2022,1
14147,14 2 2022,14 2 2022,0
14148,14 2 2022,17 2 2022,3
14149,14 2 2022,14 2 2022,0
14203,14 2 2022,15 2 2022,1
14222,14 2 2022,15 2 2022,1
14223,14 2 2022,24 2 2022,10
14281,14 2 2022,14 2 2022,0
14285,14 2 2022,14 2 2022,0
14357,14 2 2022,15 2 2022,1
14414,14 2 2022,15 2 2022,1
14415,14 2 2022,14 2 2022,0
14435,14 2 2022,15 2 2022,1
14507,14 2 2022,14 2 2022,0
14508,14 2 2022,14 2 2022,0
14518,14 2 2022,14 2 2022,0
14519,14 2 2022,15 2 2022,1
14524,14 2 2022,15 2 2022,1
14685,14 2 2022,15 2 2022,1
14698,14 2 2022,17 2 2022,3
14723,14 2 2022,14 2 2022,0
14746,14 2 2022,14 2 2022,0
14782,14 2 2022,14 2 2022,0
14803,14 2 2022,15 2 2022,1
14853,14 2 2022,15 2 2022,1
14870,14 2 2022,15 2 2022,1
14907,14 2 2022,25 2 2022,11
14910,14 2 2022,14 2 2022,0
14962,14 2 2022,14 2 2022,0
14963,14 2 2022,28 2 2022,14
14966,14 2 2022,15 2 2022,1
14969,14 2 2022,12 4 2022,57
14975,14 2 2022,15 2 2022,1
14980,14 2 2022,14 2 2022,0
14982,14 2 2022,14 2 2022,0
15048,14 2 2022,17 2 2022,3
15051,14 2 2022,14 2 2022,0
15059,14 2 2022,15 2 2022,1
15099,14 2 2022,15 2 2022,1
15169,14 2 2022,15 2 2022,1
15191,14 2 2022,14 2 2022,0
15193,14 2 2022,14 2 2022,0
15243,14 2 2022,15 2 2022,1
15265,15 2 2022,15 2 2022,0
15269,15 2 2022,15 2 2022,0
15270,14 2 2022,6 4 2022,51
15306,15 2 2022,15 2 2022,0
15325,15 2 2022,15 2 2022,0
15368,15 2 2022,21 2 2022,6
15374,15 2 2022,15 2 2022,0
15375,14 2 2022,15 2 2022,1
15376,15 2 2022,15 2 2022,0
15378,15 2 2022,15 2 2022,0
15397,15 2 2022,25 2 2022,10
15406,15 2 2022,18 2 2022,3
15407,15 2 2022,15 2 2022,0
15445,15 2 2022,15 2 2022,0
15457,15 2 2022,15 2 2022,0
15459,15 2 2022,15 2 2022,0
15460,15 2 2022,15 2 2022,0
15469,15 2 2022,15 2 2022,0
15477,15 2 2022,15 2 2022,0
15479,15 2 2022,15 2 2022,0
15480,15 2 2022,15 2 2022,0
15481,15 2 2022,15 2 2022,0
15494,15 2 2022,15 2 2022,0
15559,15 2 2022,15 2 2022,0
15638,15 2 2022,15 2 2022,0
15639,15 2 2022,15 2 2022,0
15640,15 2 2022,15 2 2022,0
15641,15 2 2022,15 2 2022,0
15643,15 2 2022,15 2 2022,0
15644,15 2 2022,16 2 2022,1
15693,15 2 2022,15 2 2022,0
15694,15 2 2022,15 2 2022,0
15695,15 2 2022,16 2 2022,1
15754,15 2 2022,15 2 2022,0
15766,15 2 2022,15 2 2022,0
15767,15 2 2022,15 2 2022,0
15768,15 2 2022,15 2 2022,0
15769,15 2 2022,15 2 2022,0
15770,15 2 2022,15 2 2022,0
15773,15 2 2022,15 2 2022,0
15774,15 2 2022,15 2 2022,0
15832,15 2 2022,16 2 2022,1
15833,15 2 2022,15 2 2022,0
15834,15 2 2022,15 2 2022,0
15835,15 2 2022,15 2 2022,0
15838,15 2 2022,15 2 2022,0
15840,15 2 2022,15 2 2022,0
15843,15 2 2022,15 2 2022,0
15846,15 2 2022,16 2 2022,1
15847,15 2 2022,15 2 2022,0
15848,15 2 2022,15 2 2022,0
15915,15 2 2022,15 2 2022,0
15916,15 2 2022,15 2 2022,0
15917,15 2 2022,15 2 2022,0
15972,15 2 2022,15 2 2022,0
15973,15 2 2022,15 2 2022,0
15974,15 2 2022,15 2 2022,0
15978,15 2 2022,15 2 2022,0
15979,15 2 2022,15 2 2022,0
15986,15 2 2022,15 2 2022,0
16050,15 2 2022,15 2 2022,0
16051,15 2 2022,15 2 2022,0
16115,15 2 2022,15 2 2022,0
16127,15 2 2022,15 2 2022,0
16128,15 2 2022,16 2 2022,1
16129,15 2 2022,15 2 2022,0
16216,15 2 2022,15 2 2022,0
16217,15 2 2022,16 2 2022,1
16220,15 2 2022,15 2 2022,0
16301,15 2 2022,15 2 2022,0
16367,15 2 2022,15 2 2022,0
16524,15 2 2022,15 2 2022,0
